date,time,latitude,longitude,depth_km,magnitude,type,distance,direction,district,country
2013-09-24,16:29:47,26.951,65.5009,15.0,7.7,earthquake,113.0,NW,Bela,Pakistan
2005-10-08,08:50:40,34.539,73.588,26.0,7.6,earthquake,21.0,NNE,Muzaffarbd,Pakistan
2011-01-19,01:23:23,28.777,63.951,68.0,7.2,earthquake,46.0,WSW,Dalbandin,Pakistan
1997-02-28,02:08:02,29.976,68.208,33.0,7.1,earthquake,29.0,ESE,Harnai,Pakistan
2013-09-28,12:34:06,27.1825,65.5052,12.0,6.8,earthquake,129.0,WSW,Khuzdar,Pakistan
1975-10-03,10:14:23,30.251,66.315,11.0,6.7,earthquake,64.0,W,Kot Malik Barkhurdar,Pakistan
2004-04-06,02:24:04,36.512,71.029,187.1,6.6,earthquake,,,,Afghanistan-Tajikistan-Pakistan region
2008-10-29,16:32:43,30.598,67.455,14.0,6.4,earthquake,13.0,NNW,Alik Ghund,Pakistan
1975-10-03,22:31:35,30.413,66.35,33.0,6.4,earthquake,56.0,S,Chaman,Pakistan
2008-10-29,04:09:57,30.639,67.351,15.0,6.4,earthquake,23.0,NW,Alik Ghund,Pakistan
2005-10-08,15:46:28,34.733,73.1,8.0,6.4,earthquake,9.0,NE,Battagram,Pakistan
1992-05-20,17:20:32,33.377,71.317,16.3,6.3,earthquake,2.0,WSW,Lachi,Pakistan
1994-06-30,14:23:21,36.326,71.13,226.6,6.3,earthquake,,,,Afghanistan-Tajikistan-Pakistan region
2017-02-08,03:03:56,25.1912,63.2644,29.07,6.3,earthquake,22.0,WSW,Pasni,Pakistan
2002-11-21,02:32:30,35.414,74.515,33.0,6.3,earthquake,58.0,SSE,Gilgit,Pakistan
1981-09-12,12:15:54,35.693,73.594,33.0,6.2,earthquake,69.0,WSW,Gilgit,Pakistan
1992-04-24,12:07:23,27.55,66.065,25.0,6.2,earthquake,61.0,WSW,Khuzdar,Pakistan
1990-06-17,09:51:45,27.398,65.719,14.5,6.1,earthquake,99.0,WSW,Khuzdar,Pakistan
1990-03-05,00:46:19,28.925,66.331,10.1,6.1,earthquake,27.0,WSW,Kalat,Pakistan
1997-02-28,02:30:36,29.985,67.977,33.0,6.0,earthquake,13.0,SSE,Harnai,Pakistan
2000-06-04,22:52:15,28.723,65.383,33.0,6.0,earthquake,15.0,NNW,Kharan,Pakistan
1985-05-06,08:04:22,30.885,70.269,36.6,5.9,earthquake,41.0,WNW,Taunsa,Pakistan
2005-10-08,08:57:19,34.238,73.579,10.0,5.9,earthquake,17.0,SE,Muzaffarbd,Pakistan
1978-03-16,07:00:00,29.926,66.302,33.0,5.9,earthquake,49.0,NNE,Nushki,Pakistan
1990-07-26,11:53:56,27.247,65.508,18.8,5.9,earthquake,125.0,WSW,Khuzdar,Pakistan
2021-10-07,03:01:08,30.1933,67.9948,9.0,5.9,earthquake,11.0,NNE,Harnai,Pakistan
1994-06-04,03:40:21,28.736,70.07,33.0,5.9,earthquake,12.0,ENE,Rojhan,Pakistan
